,Japanese,English
0,、,","
1,。,.
2,何,what
3,あ,a
4,あなた,you
5,言,words
6,行,line
7,人,people
8,知,knowledge
9,）,)
10,（,(
11,事,case
12,彼女,she
13,お前,you
14,話,story
15,来,Next
16,分か,minutes
17,者,person
18,聞,Listen
19,死,death
20,時,time
21,ああ,ah
22,殺,murder
23,前,before
24,中,Medium
25,達,reach
26,必要,need
27,あの,that
28,気,air
29,大丈夫,Are you okay
30,」,”
31,自分,myself
32,持,Hold
33,本当,TRUE
34,時間,time
35,我々,we
36,一,one
37,的,target
38,無,
39,ありがとう,thank you
40,家,house
41,会,meeting
42,日,day
43,仕事,work
44,手,hand
45,一緒,together
46,後,rear
47,出来,Done
48,他,others
49,入,Enter
50,電話,phone
51,目,eye
52,様,Mr.
53,分,minutes
54,車,car
55,所,place
56,度,degree
57,同じ,same
58,場所,place
59,問題,problem
60,子供,child
61,愛,love
62,金,gold
63,名前,name
64,子,child
65,信,Faith
66,少し,a bit
67,使,messenger
68,全て,all
69,世界,world
70,教え,lesson
71,通り,street
72,来る,come
73,上,above
74,入れ,Get in
75,人間,human
76,行け,Go
77,今日,today
78,物,thing
79,女,woman
80,呼,call
81,生き,alive
82,あれ,That
83,じゃあ,Well then
84,止め,stop
85,心配,anxiety
86,母,mother
87,関係,relationship
88,外,outside
89,家族,family
90,起き,wake up
91,意味,meaning
92,神,God
93,警察,police
94,最後,last
95,作,Made by
96,次,Next
97,息子,son
98,取,Tori
99,全部,All
100,間,between
101,書,calligraphy
102,捜査,investigation
103,起こ,wake up
104,回,times
105,別,another
106,情報,information
107,理由,reason
108,数,number
109,一人,alone
110,部屋,room
111,人生,life
112,急,suddenly
113,食べ,eat
114,女性,woman
115,続け,continue
116,事件,incident
117,始め,beginning
118,最初,first
119,連絡,contact
120,まあ,oh dear
121,調べ,Investigation
122,下さ,Down
123,楽し,fun
124,殺人,murder
125,下,under
126,万,Ten thousand
127,友達,friend
128,約束,promise
129,二,two
130,結婚,marriage
131,無理,Impossible
132,感じ,feeling
133,得,profit
134,最高,the best
135,計画,plan
136,仲間,fellow
137,先,destination
138,可能,Possible
139,あいつ,That guy
140,あと,After
141,明日,tomorrow
142,変わ,strange
143,聞こえ,I can hear it
144,確認,confirmation
145,命,life
146,着,arrival
147,与え,give
148,全員,Everyone
149,動,motion
150,理解,understanding
151,二人,two people
152,開け,Open
153,友人,friend
154,機,machine
155,不,No
156,あげ,Fried
157,離れ,apart
158,戦,war
159,先生,teacher
160,言え,Say it
161,質問,question
162,置,Place
163,犯人,culprit
164,受け,received
165,感,Feeling
166,伝え,Legend
167,素晴らし,Wonderful
168,ドア,door
169,本,book
170,乗,Squared
171,用,for
172,感謝,thanks
173,正し,Correct
174,言葉,words
175,大,large
176,立,standing
177,写真,photograph
178,説明,explanation
179,博士,doctor
180,強,strength
181,絶対,absolute
182,国,country
183,向か,Across the street
184,ある,be
185,野郎,Bastard
186,番,number
187,一番,number one
188,重要,important
189,状況,situation
190,元気,fine
191,水,water
192,変え,change
193,十分,sufficient
194,週間,week
195,やあ,Hi
196,父親,father
197,間違い,error
198,了解,roger that
199,相手,partner
200,員,member
201,声,voice
202,会え,See you
203,音,sound
204,消え,vanish
205,会社,company
206,簡単,easy
207,選,Selection
208,残念,disappointing
209,自由,freedom
210,自身,himself
211,等,etc.
212,一体,Together
213,人々,people
214,報告,report
215,読,reading
216,過ぎ,too much
217,通,General
218,アメリカ,America
219,元,Former
220,命令,instruction
221,高,high
222,体,body
223,大統領,president
224,月,month
225,警官,police officer
226,語,word
227,学校,school
228,対,versus
229,決め,decision
230,真実,truth
231,初めて,first time
232,口,mouth
233,大変,hard
234,要,Essential
235,変,strange
236,学,studies
237,武器,weapon
238,店,shop
239,母親,mother
240,刑事,detective
241,気持ち,feeling
242,間違,mistake
243,運,luck
244,記録,record
245,光,light
246,手伝,help
247,深,deep
248,落ち着,calm down
249,存在,existence
250,実,fruit
251,役,role
252,病院,hospital
253,住,residence
254,責任,responsibility
255,あっ,Ah
256,普通,usually
257,大きな,big
258,監視,monitoring
259,協力,cooperation
260,多分,perhaps
261,実際,actual
262,足,feet
263,地球,earth
264,生活,life
265,任せ,leave to
266,気分,feeling
267,解決,solution
268,結果,result
269,調査,investigation
270,研究,the study
271,何処,where
272,発見,discovery
273,場,place
274,大事,important
275,止ま,stop
276,大き,big
277,生,raw
278,なあ,Hey
279,運転,driving
280,ヶ月,months
281,多,Many
282,１人,1 person
283,番号,number
284,状態,situation
285,来い,come
286,開,Open
287,上手,good
288,済,done
289,場合,case
290,刑務,prison sentence
291,以外,other than
292,朝,morning
293,飛行,flight
294,あまり,not much
295,近く,near
296,後ろ,behind
297,目的,the purpose
298,歌,song
299,面白,Interesting
300,弁護,defense
301,客,customer
302,特別,special
303,昨日,yesterday
304,少な,little
305,認め,recognition
306,死体,cadaver
307,医者,doctor
308,装置,Device
309,共,jointly
310,唯一,only
311,あんな,That kind of thing
312,不明,not clear
313,限り,as long as
314,信用,credit
315,美し,beauty
316,用意,preparation
317,話せ,talk
318,移動,move
319,映画,movie
320,美咲,Misaki
321,取引,transaction
322,最近,recently
323,現場,On-site
324,事故,accident
325,連中,guys
326,過去,past
327,全く,absolutely
328,選択,choice
329,完全,complete
330,信じ,believe
331,信頼,trust
332,町,town
333,何故,why
334,始ま,beginning
335,精神,spirit
336,付け,attached
337,あら,fault
338,女の子,girl
339,気づ,Notice
340,記憶,memory
341,頑張,Do your best
342,人,people
343,素敵,nice
344,身,body
345,価値,value
346,有,Yes
347,三,three
348,最も,most
349,両親,parents
350,人物,person
351,生まれ,born
352,警備,security
353,以前,Previously
354,無事,Safely
355,聞け,Listen
356,銀行,bank
357,裁判,trial
358,降り,descending
359,大学,university
360,州,state
361,今回,this time
362,空,sky
363,経験,experience
364,本物,genuine
365,部,Department
366,化,transformation
367,未来,future
368,正直,Honesty
369,年間,yearly
370,無駄,waste
371,島,island
372,内,Inside
373,風,wind
374,結構,fine
375,治療,treatment
376,予定,schedule
377,点,point
378,人,people
379,許可,permission
380,勇気,courage
381,最悪,worst
382,全然,not at all
383,任務,mission
384,日本,Japan
385,作戦,strategy
386,成功,success
387,進,Susumu
388,品,Goods
389,消,Disappear
390,小さな,small
391,科学,science
392,放,release
393,向こう,Beyond
394,事実,fact
395,食,food
396,関,Seki
397,戦い,fight
398,少年,boy
399,爆発,explosion
400,現実,reality
401,保護,protection
402,地下,underground
403,隊,squad
404,地,earth
405,別れ,Farewell
406,時代,era
407,使え,Use it
408,組織,organization
409,式,formula
410,落ち着け,Calm down
411,動物,animal
412,無し,none
413,下が,The bottom is
414,技術,technology
415,個人,individual
416,期待,expectations
417,調子,condition
418,線,line
419,局,station
420,利用,use
421,主人,master
422,館,Hall
423,毎日,every day
424,付,With
425,当然,Naturally
426,患者,patient
427,全,all
428,今朝,this morning
429,過ご,spend time
430,馬,horse
431,あー,ah
432,あたし,I
433,立て,standing
434,地獄,hell
435,：,:
436,続,Continued
437,陛下,His Majesty
438,小さ,small
439,火,fire
440,平気,I'm fine
441,世話,care
442,理子,Riko
443,検査,inspection
444,アレックス,alex
445,木,tree
446,号,issue
447,山,mountain
448,解,Solution
449,警部,Inspector
450,食事,meal
451,構,Structure
452,侵入,intrusion
453,駄目,No good
454,緊急,emergency
455,親父,father
456,気付,care
457,主,main
458,速,speed
459,休,Closed
460,原因,cause
461,警告,caveat
462,山里,mountain village
463,部下,subordinate
464,運命,destiny
465,到着,arrival
466,自殺,suicide
467,屋,shop
468,現在,the current
469,一部,part
470,行為,act
471,遺体,corpse
472,大切,important
473,関わ,involved
474,常,always
475,感情,emotions
476,星,star
477,手紙,letter
478,混乱,confusion
479,支配,control
480,影響,influence
481,受け入れ,accept
482,知れ,Know
483,行方,whereabouts
484,少女,girl
485,位,rank
486,半分,half
487,誕生,birth
488,超,super
489,施設,facility
490,殺せ,Kill it
491,向け,for
492,機会,opportunity
493,正確,accurate
494,料理,cooking
495,要求,request
496,再,Re
497,指示,instructions
498,部隊,troops
499,何者,who
500,音楽,music
501,上げ,raise
502,管理,management
503,映像,picture
504,開始,start
505,議員,Member of Parliament
506,反対,Opposition
507,勝手,selfishness
508,器,vessel
509,反応,reaction
510,可愛,Cute
511,女王,queen
512,師,teacher
513,大好き,really like
514,面倒,troublesome
515,出発,departure
516,引,Pull
517,保安,security
518,楽しみ,fun
519,行き,Going
520,将軍,general
521,事態,situation
522,一杯,A cup
523,近,near
524,発,Departure
525,取り戻,take back
526,偉大,great
527,結局,in the end
528,ロシア,Russia
529,司令,command
530,平和,peace
531,解放,release
532,直,straight
533,事務,Office work
534,瞬間,moment
535,教授,professor
536,示,Show
537,教会,church
538,優し,Kindness
539,以来,Since then
540,突然,suddenly
541,付き合,companionship
542,集中,concentration
543,通信,communication
544,あっち,Over there
545,異常,abnormality
546,殺し,kill
547,部分,portion
548,様子,state
549,沢山,many
550,参加,Participation
551,旅,Journey
552,社,company
553,重,heavy
554,自然,nature
555,殺害,murder
556,園,garden
557,速人,Hayato
558,途中,in the middle
559,証言,testimony
560,夏美,Natsumi
561,取れ,Take it
562,前回,last time
563,手術,surgery
564,強盗,robbery
565,種,seed
566,魔女,witch
567,専門,specialty
568,閣下,Your Honor
569,会議,meeting
570,美月,Mizuki
571,提供,offer
572,離,away
573,荷物,luggage
574,安心,peace of mind
575,基地,base
576,目撃,sighting
577,動き,movement
578,指,finger
579,〜,~
580,時々,sometimes
581,怪物,monster
582,会話,conversation
583,受け取,receipt
584,一致,match
585,全体,whole
586,徳井,Tokui
587,アンタ,You
588,親,parent
589,天使,angel
590,勝利,victory
591,主義,principle
592,旅行,trip
593,死亡,death
594,夫人,Mrs.
595,目標,the goal
596,個,pieces
597,中国,China
598,生徒,student
599,建物,building
600,確信,Confidence
601,出会,encounter
602,使用,use
603,台,stand
604,社会,society
605,周り,around
606,色,color
607,停止,Stop
608,曲,song
609,実験,experiment
610,直接,directly
611,川,river
612,実行,execution
613,半,half
614,乗せ,ride
615,後悔,regret
616,案内,guidance
617,禁止,Prohibited
618,距離,distance
619,次第,depend on
620,感染,infection
621,制御,control
622,戦闘,battle
623,以内,within
624,書類,document
625,偶然,coincidence
626,機械,machine
627,最終,final
628,無視,ignore
629,』,”
630,王子,prince
631,呼吸,breathing
632,巨人,giant
633,軍隊,army
634,支援,support
635,大人,adult
636,同意,consent
637,恋人,lover
638,知り合い,acquaintance
639,努力,effort
640,足り,Enough
641,進め,proceed
642,惑星,planet
643,回復,recovery
644,新聞,newspaper
645,『,『
646,話し,story
647,アパート,apartment
648,組,set
649,アア,Aah
650,生き残,survive
651,一生,lifetime
652,処理,process
653,兵器,weapons
654,方向,direction
655,決定,decision
656,当た,Won
657,アクセス,access
658,満足,satisfaction
659,クレア,Claire
660,神経,nerve
661,症,disease
662,流,flow
663,分析,analysis
664,不思議,wonder
665,限,Limited
666,半田,solder
667,物語,story
668,ア,a
669,練習,practice
670,久し,It’s been a while
671,他人,others
672,両方,both
673,南,south
674,成長,growth
675,～,～
676,再び,again
677,医,medicine
678,指揮,command
679,最大,maximum
680,病,disease
681,記事,article
682,時計,clock
683,アラン,Alan
684,手段,means
685,高校,high school
686,太陽,solar
687,具合,condition
688,青,blue
689,向,Direction
690,才能,talent
691,交換,exchange
692,最低,lowest
693,救急,emergency
694,魅力,charm
695,楽,easy
696,応答,response
697,最,most
698,修理,repair
699,勉強,study
700,社長,president
701,ありさ,Arisa
702,試合,game
703,気の毒,I feel sorry for you
704,金持ち,rich man
705,安定,stable
706,指紋,fingerprint
707,流れ,flow
708,団,group
709,代,teenager
710,日間,days
711,午後,afternoon
712,政治,politics
713,正体,true identity
